scoring,cv_cycle,ECFP2,ECFP4,ECFP6,FCFP2,FCFP4,FCFP6,MACCS,RDK5,RDK6,RDK7,avalon,mordred,pubchem,rdkdes
neg_mean_absolute_percentage_error,23,-1.1302517628111677,-1.145928379343056,-0.6614876398884552,-1.10119558680443,-2.1822419958148283,-2.433182012015202,-0.6601150622375034,-1.0818090453675282,-0.5199159322108118,-0.3890405718341389,-0.676183097945464,-0.7872488722319906,-3.3312677970583175,-2.5450731306392713
neg_mean_absolute_percentage_error,24,-1.2518230849109884,-0.5729801287313988,-1.096546605907652,-1.23262975195526,-0.7778330496243975,-0.6973558013768467,-1.0000935247044884,-2.9581725950077247,-0.6139778785298345,-0.6781973466079732,-0.8575632379766636,-0.3866147753353657,-0.5776096092023573,-0.47836974531212
neg_mean_absolute_percentage_error,25,-3.44991099509886,-0.9348639545245927,-1.2721207434267847,-0.9793145231285538,-0.7720149077198651,-0.8238325410538034,-4.09003977893415,-0.6293198564494845,-0.590947227900485,-1.4139583252130405,-13.90055204784316,-0.5599703514830282,-0.6928228445715404,-0.589110478667457
neg_mean_absolute_percentage_error,mean,-1.7440938487149849,-1.1619023395580883,-1.1692887714031353,-1.1069027801374072,-1.122701688155615,-1.0718701071339118,-1.4999172230850784,-1.4619611242700905,-1.322937498801618,-1.1970739842383282,-2.5090867272700517,-0.7365708299980396,-1.538733678750084,-1.0136921575034068
neg_mean_absolute_percentage_error,median,-1.2518230849109884,-1.1188100755160304,-0.9763039931579989,-1.0316661039257737,-0.7778330496243975,-0.8238325410538034,-0.9736876766377773,-1.0322272827888672,-0.7617569816133811,-0.6948856005123861,-0.8575632379766636,-0.6701511886317816,-0.7708629786317742,-0.6862807562490604
neg_mean_absolute_percentage_error,std,1.3763778196321936,0.4739226984883427,0.5876570593618562,0.326317023758272,0.7922146605884083,0.6634083427808091,1.3046715966649962,1.133541343613307,1.023796888056808,0.9865373848755679,3.5240485063977376,0.2545839758473668,1.5402325874340455,0.7479628210980239
neg_mean_squared_error,1,-0.30804698351778403,-0.6667597936110713,-0.08426436371450867,-0.23422804679022877,-0.07732216804690553,-0.23296086984351722,-0.1608872452587741,-0.09492602436714896,-0.08593847380286786,-0.13148399770664118,-0.05056111573172029,-0.1783075800320666,-0.17865570269655812,-0.10361121999180918
neg_mean_squared_error,2,-0.22734163573688987,-0.1433548552656588,-0.1651528024349853,-0.20444886774216056,-0.1502154781904645,-0.21165777470649563,-0.23998211071763687,-0.17837881630017285,-0.14092441777904194,-0.0346711728806115,-0.0687841492153986,-0.14002380581587193,-0.26554673141989366,-0.16090121046456704
neg_mean_squared_error,3,-0.3930185548726388,-0.24646564559242432,-0.21003124340993223,-0.2701006333565762,-0.16052750938747118,-0.19499792332223806,-0.18852550792639386,-0.23591756828082217,-0.08922358258254336,-0.13048793285663285,-0.2725451778852997,-0.09489028912243336,-0.09374590958992154,-0.06751823111516524
neg_mean_squared_error,4,-0.32234987660709663,-0.190148592203507,-0.15928773699679577,-0.13455689144615293,-0.25244130369700124,-0.1153130430899754,-0.10579410300972336,-0.07733503493028382,-0.0686472963493078,-0.1089085233487062,-0.07084231794769438,-0.03778488680816984,-0.12267398878341884,-0.06220996834732889
neg_mean_squared_error,5,-0.1796806278079944,-0.1575522513843465,-0.43558749443437433,-0.28938093576574725,-0.1495187849742548,-0.13690570032298743,-0.11748186968405773,-0.08465365369286498,-0.26584661848918484,-0.10943593950592735,-0.21878451491540016,-0.09244046508168167,-0.11237133632801985,-0.12883116160387187
neg_mean_squared_error,6,-0.23801222930743973,-0.14198879864021843,-0.17992732112141926,-0.19541634605924257,-0.1776285024423528,-0.17338520383873354,-0.1610943496470794,-0.18851693210196366,-0.17805728147498567,-0.12068328308377203,-0.06651768193811919,-0.11902380688692359,-0.08452187551120698,-0.12435035875759702
